Climate,Frate,Region,Model,Species,year,totB,SSB,Catch,,Scenario
stable_climate,F0,WGOA,Rpath,COD,2087,631897.3913,133409.351,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2087,1859350.9,704248.6792,0,,base
stable_climate,F0,WGOA,Rpath,POL,2088,3461491.721,2090399.169,0,,base
stable_climate,F0,WGOA,Rpath,COD,2088,632141.6794,133422.2593,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2088,1859558.292,704468.2868,0,,base
stable_climate,F0,WGOA,Rpath,POL,2089,3462867.271,2091197.287,0,,base
stable_climate,F0,WGOA,Rpath,COD,2089,632368.9744,133436.9686,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2089,1859721.246,704676.2915,0,,base
stable_climate,F0,WGOA,Rpath,POL,2090,3464217.935,2091968.18,0,,base
stable_climate,F0,WGOA,Rpath,COD,2090,632579.7187,133451.1613,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2090,1859842.951,704875.9449,0,,base
stable_climate,F0,WGOA,Rpath,POL,2091,3465489.379,2092677.834,0,,base
stable_climate,F0,WGOA,Rpath,COD,2091,632773.8961,133462.6009,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2091,1859924.927,705069.1392,0,,base
stable_climate,F0,WGOA,Rpath,POL,2092,3466643.966,2093304.186,0,,base
stable_climate,F0,WGOA,Rpath,COD,2092,632951.5437,133469.7272,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2092,1859967.217,705256.0435,0,,base
stable_climate,F0,WGOA,Rpath,POL,2093,3467675.244,2093845.778,0,,base
stable_climate,F0,WGOA,Rpath,COD,2093,633113.2351,133472.0935,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2093,1859969.085,705435.2997,0,,base
stable_climate,F0,WGOA,Rpath,POL,2094,3468609.764,2094321.928,0,,base
stable_climate,F0,WGOA,Rpath,COD,2094,633260.283,133470.4955,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2094,1859929.992,705604.7343,0,,base
stable_climate,F0,WGOA,Rpath,POL,2095,3469496.853,2094765.393,0,,base
stable_climate,F0,WGOA,Rpath,COD,2095,633394.5922,133466.7441,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2095,1859850.434,705762.277,0,,base
stable_climate,F0,WGOA,Rpath,POL,2096,3470392.396,2095211.756,0,,base
stable_climate,F0,WGOA,Rpath,COD,2096,633518.2953,133463.1612,0,,base
