"tstep","year","mo","cop","eup","mzl","phl","phs","temp_b5","temp_s5"
227,1988,11,0.871887308077867,0.886786078787249,0.760251876621696,0.395609722002796,0.247809275433671,1.06395882033913,0.986203339085239
228,1988,12,0.246904161531961,0.221051549550017,0.385638068522649,0.407288142308028,0.443141909261679,0.755754435070952,0.785344986920899
229,1989,1,0.316631925162168,0.171879276719581,0.443189762157636,0.608446358273278,0.800765129274157,0.622030885482445,0.68117152137956
230,1989,2,0.808563423275995,0.580933984311498,0.253344998038603,0.669055700351578,0.754150020459815,0.996851026933207,1.26738644547845
231,1989,3,0.604847738585201,0.501880796325699,0.166678903501278,0.570089414634958,0.908559360536879,1.2334530101161,1.63559275945003
232,1989,4,0.97063653268526,0.864633678296791,0.538202358863552,0.935642824409045,1.35001750419808,1.45099297157091,1.76447023069378
233,1989,5,1.07345754752807,1.05910623435028,0.817650044527286,0.797656275646785,1.38411970206415,1.47486272555825,1.18340317153152
234,1989,6,1.04331004202701,1.06013191272418,0.982883003721826,0.833190485404611,1.04850866002928,1.30315064575032,1.01690222644876
235,1989,7,0.943384880034415,0.951310434621455,0.918382660893713,0.73646716122621,0.720346082143019,1.23191859345911,1.03638774693495
236,1989,8,0.895761769022998,0.919476240416224,0.924773046421277,0.760245339865357,0.819349821901636,1.1963963357276,1.04916638354505
237,1989,9,0.910203651456039,0.92087608098324,1.00405425339059,0.643652440443686,0.848345522052434,1.17131933153925,1.06510014731058
238,1989,10,0.84819186961561,0.857734744128787,0.886252555194262,0.605803132678277,0.477630875623377,1.18004726809454,1.00543260532331
239,1989,11,0.604354755989933,0.640598536097811,0.595076239044684,0.44447587054377,0.244852969289901,1.08262535005277,0.972868019272405
240,1989,12,0.335962553555672,0.335907145764401,0.403241821997135,0.446291772981107,0.480828354482407,0.905971993807129,0.960625128103521
241,1990,1,0.31796565116131,0.146706000495866,0.435225524670783,0.597944823962311,0.902313082802827,0.808857843384094,0.922843729024218
242,1990,2,0.657806988236466,0.420359648960889,0.209157338017552,0.472562957619716,0.844385631883965,0.663183564300312,0.696408007602502
243,1990,3,0.398257139593403,0.323549398258407,0.180811964147038,0.538906137437334,0.833472186083018,0.640871818205904,0.751809463325358
244,1990,4,0.780703751451742,0.704204174274918,0.616034027473183,1.20676829487019,1.44936875483756,1.12572673590245,1.58623255908112
245,1990,5,1.00880647071176,0.996264122995222,1.05049892262934,1.32311850516004,1.47255214399114,1.18575882534687,1.24384161538393
246,1990,6,1.05669036714952,1.02808269310978,1.0025951329409,0.744256508844872,0.866749148242255,1.11314782337861,1.15654831414975
247,1990,7,0.939031200103037,0.936561596770517,0.873942051880158,0.569959678402902,0.662082046622809,1.08198723967493,1.0580702857845
248,1990,8,0.852236653919053,0.869626421530277,0.840925832978747,0.724290170094829,0.321275815806231,1.11697166267146,0.963643457977013
249,1990,9,0.88489698909019,0.884929715096073,1.00532764149898,1.41240783418493,0.306799987359592,1.12222983655328,0.956295892711167
250,1990,10,1.00526918851241,1.00582140204897,0.999047809528682,0.92954506377738,0.416448720931452,1.088781973178,0.933791669038699
251,1990,11,0.884323140761526,0.923961860426872,0.820911076470084,0.58845576763992,0.350747122336196,1.03591448429674,0.960281705978696
252,1990,12,0.362633853216901,0.39116176950606,0.459946046590097,0.482047305453127,0.473968941628695,1.01256625465932,1.09582525406005
253,1991,1,0.318120051456005,0.201905384921507,0.544955558154547,0.802900792725096,0.993861696123933,0.839533982540975,0.943624063230368
254,1991,2,0.566011975677774,0.548558586439922,0.28049197763257,0.526207335532661,0.856693982823741,0.240089794701781,0.106676861580906
255,1991,3,0.486691487084099,0.456157283279968,0.195403287412188,0.569980693097357,0.868994888644727,0.417888979758653,0.419047734526789
256,1991,4,0.663133586987876,0.629310701670828,0.486210942963391,0.881624891704899,1.1500924082809,0.742683495828196,0.857800696093304
257,1991,5,0.865751239844349,0.878334701780541,0.834796622814035,1.00400745833156,1.09559164531319,0.967588768842783,0.959561364895336
258,1991,6,0.950013653964217,0.946430929503973,0.919495911396817,0.820972749412022,0.723058056862239,0.993265142109471,0.916793909501187
259,1991,7,0.870945251531195,0.896672803075818,0.798226543965278,0.794557660622786,0.454878895391711,0.981048514392822,1.07186974685402
260,1991,8,0.942481344344316,0.966032860331212,0.833843697984008,0.885965627544946,0.429532606485584,0.94755358514002,1.03180862795871
261,1991,9,0.815866251016277,0.851623280438243,0.769217660431473,0.606559521841109,0.424141390780342,0.967524453040833,1.04073912091575
262,1991,10,1.02192823876365,1.05832235348535,1.15161113623024,1.33251017373204,0.566406449794446,0.990682623055378,1.00607717175243
263,1991,11,1.25758052436018,1.27092853841422,1.28488642445831,1.0953734179218,0.575337119777752,1.07060453352735,1.20845466709749
264,1991,12,0.545342374841074,0.567309802722541,0.616284236347269,0.571656524579876,0.470000981918501,1.05175703725621,1.10732809373093
265,1992,1,0.294226509307514,0.168476208107458,0.580250787789964,0.778499229491636,0.924002553982524,0.892594022826464,0.992978973030972
266,1992,2,0.650666432426184,0.591854870627211,0.334377181064472,0.67324130105689,0.956672049992787,0.85909824444572,1.06071951918804
267,1992,3,0.378524031937076,0.369611602912008,0.145396560555061,0.461021154786103,0.899950543967945,0.420056223684886,0.365295812286295
268,1992,4,0.435177335031475,0.380830022791577,0.328370821762153,0.819075604979945,1.12984023920715,0.38096842031559,0.474060529732634
269,1992,5,0.840127978242736,0.822957837517404,0.852914446165903,0.944690764337342,1.3699570504317,0.525168505004683,1.05344287051082
270,1992,6,1.02835866609208,1.0277422520974,0.996644516542273,0.73350319023921,1.04173009273884,0.65946607466699,0.984396146744627
271,1992,7,1.01580931378115,1.00196580850113,0.993314747512228,0.701791100006868,0.781912664422827,0.75249525481598,0.923831726077272
