"","tstep","year","month","btemp","stemp","rec"
"708",840,2049,12,6.96648124393463,7.79893924367358,1
"709",841,2050,1,6.08554535568067,6.55452965669251,1
"710",842,2050,2,5.48595913340637,5.87979659451012,0.798333217020416
"711",843,2050,3,4.9908217432913,5.31699242865768,0.968032332921691
"712",844,2050,4,5.066590262048,5.63852950120295,0.943789850379832
"713",845,2050,5,5.68157882442383,7.94532834253766,1
"714",846,2050,6,6.3943990109612,10.5796913668771,1
"715",847,2050,7,7.01346090114525,13.1885957624706,1
"716",848,2050,8,7.51217628176423,14.314759684818,1
"717",849,2050,9,7.83446071121343,12.6525101491403,1
"718",850,2050,10,8.18810348827279,10.843159567963,1
"719",851,2050,11,7.70005054917077,8.9521465037308,1
"720",852,2050,12,6.56912098307046,7.30658293626339,1
"721",853,2051,1,5.43758242448461,5.81186963332588,1
"722",854,2051,2,4.94971088260665,5.16139299170075,0.806129926112456
"723",855,2051,3,4.68194186762633,4.97092892453382,0.820570494180697
"724",856,2051,4,4.89096653371423,5.50675002793656,0.810759552540003
"725",857,2051,5,5.49616117040615,7.62539866450713,1
"726",858,2051,6,6.23467416351219,10.2936512296645,1
"727",859,2051,7,6.83956146064226,13.2277968923634,1
"728",860,2051,8,7.3425014475798,13.8245647264124,1
"729",861,2051,9,7.77108634078561,13.2611300469009,1
"730",862,2051,10,7.9776995839137,10.6161152415748,1
"731",863,2051,11,7.34540643410603,8.50070434309627,1
"732",864,2051,12,6.30617699000377,6.90145388415157,1
"733",865,2052,1,5.29106743742407,5.63547527298155,1
"734",866,2052,2,4.92116338166087,5.36701668285155,0.999732555598091
"735",867,2052,3,4.68694227793488,5.20465661218171,0.974815215866381
"736",868,2052,4,4.81304168468224,5.19638767598727,0.998040761253692
"737",869,2052,5,5.49027502570579,7.81945626743746,1
"738",870,2052,6,6.23730624552538,10.7170070400279,1
"739",871,2052,7,6.91779616832073,13.7568856268327,1
"740",872,2052,8,7.41720873507025,13.4801081962139,1
"741",873,2052,9,7.84088052823594,12.4188344718003,1
"742",874,2052,10,7.92206939179962,9.9994880634425,1
"743",875,2052,11,7.31939732404476,8.2551562768529,1
"744",876,2052,12,6.82737762144747,7.70462572588175,1
"745",877,2053,1,5.69200267445304,6.35257566307621,1
"746",878,2053,2,5.30081532286884,5.74004627138633,0.940762809799675
"747",879,2053,3,4.99553303028605,5.48338858818356,0.999647732133144
"748",880,2053,4,5.07698221508816,5.48972946992845,0.983255397500166
"749",881,2053,5,5.62944274118231,7.34728406413468,1
"750",882,2053,6,6.40773372144349,10.7261054294862,1
"751",883,2053,7,7.10163608954911,14.2733170193023,1
"752",884,2053,8,7.65212594982602,14.9903467704341,1
"753",885,2053,9,7.94991251939421,13.0987991782642,1
"754",886,2053,10,8.25398399497333,10.9928161316002,1
"755",887,2053,11,7.80521164496635,9.37800535758579,1
"756",888,2053,12,7.17046520781863,8.32544528968225,1
"757",889,2054,1,6.44893265242417,7.20623785216861,1
"758",890,2054,2,5.6271377366645,6.17445523120358,0.775470081007336
"759",891,2054,3,5.27521855728,5.70903930257003,0.795749086869858
"760",892,2054,4,5.16867706837742,5.52022985051863,0.793947922868729
"761",893,2054,5,5.73831338937775,7.40693143143391,1
"762",894,2054,6,6.5651308066174,11.5620245078743,1
"763",895,2054,7,7.22375666198073,13.377246344586,1
"764",896,2054,8,7.75867535383807,14.5692977513572,1
"765",897,2054,9,8.11966919166445,12.7574154581895,1
"766",898,2054,10,8.08035830836523,10.2372343719969,1
"767",899,2054,11,7.14963066050857,8.15182146396328,1
"768",900,2054,12,6.06181172683953,6.84013323625312,1
"769",901,2055,1,5.46573543207665,6.04025481610083,1
"770",902,2055,2,5.32129125294817,5.93139546260123,0.728297365840861
"771",903,2055,3,5.21394514209473,5.88021439809003,0.809497790272274
"772",904,2055,4,5.39151549984919,6.14351493096084,0.752405265020246
"773",905,2055,5,5.98504024336026,8.79034188983635,1
"774",906,2055,6,6.66097719406995,11.1279487755112,1
"775",907,2055,7,7.23723380975231,13.5795285676632,1
"776",908,2055,8,7.88196565728715,14.5584985454848,1
"777",909,2055,9,8.32086789413521,13.652322549542,1
"778",910,2055,10,8.61941372921963,11.0664106743604,1
"779",911,2055,11,8.02084201662958,9.42251611493663,1
"780",912,2055,12,7.10830545976823,7.80422708805015,1
"781",913,2056,1,5.88161031032401,6.433012158275,1
"782",914,2056,2,5.16262224934517,5.57099050183588,0.868148005663226
"783",915,2056,3,4.41944652599862,4.73513840811596,0.9296636838074
"784",916,2056,4,4.52257732497477,5.00291776445284,0.914354022357774
"785",917,2056,5,5.22831799817087,7.44274578455832,1
"786",918,2056,6,6.02730746790333,10.9892942213843,1
"787",919,2056,7,6.73283075928782,14.182029376993,1
"788",920,2056,8,7.2358052144466,14.1117642564751,1
"789",921,2056,9,7.6080492653547,12.4638235283636,1
"790",922,2056,10,7.93332421579413,10.8517053382251,1
