"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",2007-01-16,2007,1,5.13592421159198
"ssp126","Bottom",2007-02-14,2007,2,5.01275410924494
"ssp126","Bottom",2007-03-16,2007,3,4.60949206200533
"ssp126","Bottom",2007-04-15,2007,4,4.64268209660513
"ssp126","Bottom",2007-05-16,2007,5,4.7369895418845
"ssp126","Bottom",2007-06-15,2007,6,4.95408190390604
"ssp126","Bottom",2007-07-16,2007,7,5.17970225805712
"ssp126","Bottom",2007-08-16,2007,8,5.25952068965453
"ssp126","Bottom",2007-09-15,2007,9,5.40718383846026
"ssp126","Bottom",2007-10-16,2007,10,5.71539809317515
"ssp126","Bottom",2007-11-15,2007,11,5.88912389415347
"ssp126","Bottom",2007-12-16,2007,12,5.63321449573246
"ssp126","Bottom",2008-01-16,2008,1,5.23010080170155
"ssp126","Bottom",2008-02-15,2008,2,4.7265151899446
"ssp126","Bottom",2008-03-16,2008,3,4.70330709679987
"ssp126","Bottom",2008-04-15,2008,4,4.66509429108638
"ssp126","Bottom",2008-05-16,2008,5,4.82271611986258
"ssp126","Bottom",2008-06-15,2008,6,4.95595294065974
"ssp126","Bottom",2008-07-16,2008,7,5.22010758886768
"ssp126","Bottom",2008-08-16,2008,8,5.57339760456032
"ssp126","Bottom",2008-09-15,2008,9,5.76574505622347
"ssp126","Bottom",2008-10-16,2008,10,5.91764201542391
"ssp126","Bottom",2008-11-15,2008,11,5.93650809549237
"ssp126","Bottom",2008-12-16,2008,12,5.70524459931163
"ssp126","Bottom",2009-01-16,2009,1,5.22019976302214
"ssp126","Bottom",2009-02-14,2009,2,4.97001207441308
"ssp126","Bottom",2009-03-16,2009,3,4.89160692016746
"ssp126","Bottom",2009-04-15,2009,4,4.7184871624649
"ssp126","Bottom",2009-05-16,2009,5,4.81938657706943
"ssp126","Bottom",2009-06-15,2009,6,5.06235770713693
"ssp126","Bottom",2009-07-16,2009,7,5.26056599919744
"ssp126","Bottom",2009-08-16,2009,8,5.4041916363891
"ssp126","Bottom",2009-09-15,2009,9,5.92771659360225
"ssp126","Bottom",2009-10-16,2009,10,5.96426820946066
"ssp126","Bottom",2009-11-15,2009,11,6.26714313098126
"ssp126","Bottom",2009-12-16,2009,12,5.93673720360964
"ssp126","Bottom",2010-01-16,2010,1,5.94928131307089
"ssp126","Bottom",2010-02-14,2010,2,5.71717137643613
"ssp126","Bottom",2010-03-16,2010,3,5.48804791897424
"ssp126","Bottom",2010-04-15,2010,4,5.30114911240988
"ssp126","Bottom",2010-05-16,2010,5,5.20806413521038
"ssp126","Bottom",2010-06-15,2010,6,5.33783600180138
"ssp126","Bottom",2010-07-16,2010,7,5.3173778326171
"ssp126","Bottom",2010-08-16,2010,8,5.27150107085375
"ssp126","Bottom",2010-09-15,2010,9,5.35740783080784
"ssp126","Bottom",2010-10-16,2010,10,5.95196307100335
"ssp126","Bottom",2010-11-15,2010,11,6.00705884675256
