"simulation","depthclass","year","annual_avg_temp"
"ssp585","Surface",1992,7.35006260414671
"ssp585","Surface",1993,7.4003562936834
"ssp585","Surface",1994,7.16161071298054
"ssp585","Surface",1995,7.23443551301704
"ssp585","Surface",1996,7.56693789672724
"ssp585","Surface",1997,8.27007375723284
"ssp585","Surface",1998,7.94907611438795
"ssp585","Surface",1999,7.22175284454193
"ssp585","Surface",2000,7.49812884515517
"ssp585","Surface",2001,8.01037390775555
"ssp585","Surface",2002,7.86635778235971
"ssp585","Surface",2003,8.61347114951598
"ssp585","Surface",2004,8.18923626135629
"ssp585","Surface",2005,8.47396493574396
"ssp585","Surface",2006,7.64794772485931
"ssp585","Surface",2007,7.24591114789687
"ssp585","Surface",2008,7.21070042958862
"ssp585","Surface",2009,7.45213621383354
"ssp585","Surface",2010,7.76671251011647
"ssp585","Surface",2011,7.32717121531919
"ssp585","Surface",2012,7.00557054072905
"ssp585","Surface",2013,7.77356731639718
"ssp585","Surface",2014,8.92955297897905
"ssp585","Surface",2015,8.96643037435941
"ssp585","Surface",2016,9.48664156418706
"ssp585","Surface",2017,8.35586997640178
"ssp585","Surface",2018,8.48014950288171
"ssp585","Surface",2019,9.22541576054562
"ssp585","Surface",2020,8.26860694542282
