"tstep","year","month","btemp","stemp"
1070,2069,2,5.18802615285105,5.80690053495933
1071,2069,3,5.07728545603453,5.82068825118726
1072,2069,4,5.29494341279866,6.30793049117807
1073,2069,5,5.91026160864756,8.70255576919645
1074,2069,6,6.60335226713544,11.4692656375682
1075,2069,7,7.29932441281899,14.3911237304643
1076,2069,8,7.84570254124442,14.7931467796114
1077,2069,9,8.20376792885952,13.7053291327195
1078,2069,10,8.36196002268641,11.3255918503077
1079,2069,11,7.99563763274324,9.66242290752236
1080,2069,12,7.66191002723449,8.87404588925605
1081,2070,1,6.90713885795243,7.82852745718839
1082,2070,2,6.57993436067795,7.47723192579499
1083,2070,3,6.34442837629548,7.16721805332474
1084,2070,4,6.22078857998666,6.86718685504917
1085,2070,5,6.67458975645953,9.462690847908
1086,2070,6,7.19464562982192,11.8226340724797
1087,2070,7,7.72692215409045,14.2757687514506
1088,2070,8,8.16480594231796,14.8526821092111
1089,2070,9,8.37599072374549,13.5682364042797
1090,2070,10,8.44856915865008,10.933908890983
1091,2070,11,8.06766304406872,9.55180144679578
1092,2070,12,7.51340363767322,8.20442636261748
1093,2071,1,6.57266242659346,7.17598925476206
1094,2071,2,6.08927208115538,6.57863303477067
1095,2071,3,5.57484926742202,5.9638146468401
1096,2071,4,5.64255626525084,6.12527741800504
1097,2071,5,6.17028988114028,8.47869174006076
1098,2071,6,6.86767763969975,11.706565170817
1099,2071,7,7.48896461677307,14.2002032532095
1100,2071,8,8.04838589999669,14.3952443786791
1101,2071,9,8.35026239356722,13.0374486846313
1102,2071,10,8.3856558113167,10.6915435462355
1103,2071,11,7.87225270320363,9.08810193191039
1104,2071,12,7.48782095293398,8.3751265994947
1105,2072,1,5.69825126255925,6.25770481475444
1106,2072,2,5.48849687418603,5.97882998226824
1107,2072,3,5.25044114354415,5.67001932333869
1108,2072,4,5.23470634743688,5.66346010543043
1109,2072,5,5.8049716252018,7.90134116470817
1110,2072,6,6.54535875028719,11.1952372077789
1111,2072,7,7.22276109462875,14.163369679399
1112,2072,8,7.79260596475436,15.0031253854006
